GridLat,GridLon,Total_Crimes,LAT,LON
33.97,-118.37,63,33.97117301587301,-118.37332698412698
33.97,-118.34,7,33.9745,-118.3352
33.97,-118.33,280,33.97316392857143,-118.32993821428572
33.97,-118.32,135,33.97264666666667,-118.31966592592592
33.97,-118.31,343,33.9708387755102,-118.30960408163264
33.97,-118.3,369,33.97047018970189,-118.30058238482384
33.97,-118.29,660,33.9700203030303,-118.28925257575756
33.97,-118.28,1031,33.96999776915616,-118.28175130940834
33.97,-118.27,795,33.97014905660377,-118.27026603773585
33.97,-118.26,442,33.969850452488686,-118.26066606334842
33.98,-118.47,234,33.981191025641024,-118.46769529914529
33.98,-118.46,131,33.98067709923664,-118.46315954198474
33.98,-118.44,128,33.98289609375,-118.4413484375
33.98,-118.43,69,33.97942753623188,-118.43031884057972
33.98,-118.42,175,33.97664685714286,-118.41797257142856
33.98,-118.41,215,33.98014046511628,-118.41144790697673
33.98,-118.4,107,33.97847476635514,-118.40023177570093
33.98,-118.39,87,33.97595172413793,-118.38885977011493
33.98,-118.38,106,33.9762716981132,-118.37918773584906
33.98,-118.37,265,33.97674981132076,-118.37196301886792
33.98,-118.36,17,33.982282352941176,-118.35850588235293
33.98,-118.35,40,33.9831175,-118.3491425
33.98,-118.34,117,33.98222905982906,-118.33747606837606
33.98,-118.33,742,33.980547708894875,-118.3307114555256
33.98,-118.32,238,33.979685714285715,-118.32057352941176
33.98,-118.31,357,33.97992380952381,-118.30991652661065
33.98,-118.3,368,33.97996820652174,-118.29983831521739
33.98,-118.29,685,33.97967372262774,-118.28946364963502
33.98,-118.28,748,33.979604812834225,-118.28088877005348
33.98,-118.27,528,33.980154545454546,-118.2704475378788
33.98,-118.26,100,33.980132,-118.261413
33.99,-118.48,369,33.99282195121951,-118.47729864498646
33.99,-118.47,666,33.9888542042042,-118.47111336336336
33.99,-118.46,294,33.99090510204082,-118.46056224489796
33.99,-118.45,373,33.99069597855228,-118.45009973190348
33.99,-118.44,408,33.98953970588235,-118.44105416666667
33.99,-118.43,112,33.990443750000004,-118.42897053571429
33.99,-118.42,249,33.99015582329317,-118.4202437751004
33.99,-118.41,202,33.99187425742574,-118.41082376237624
33.99,-118.4,25,33.986188,-118.402304
33.99,-118.35,82,33.98713292682927,-118.34882926829268
33.99,-118.34,107,33.98792897196262,-118.33830093457945
33.99,-118.33,365,33.989397808219174,-118.32949643835616
33.99,-118.32,354,33.99085169491526,-118.32032344632769
33.99,-118.31,545,33.99000532110092,-118.30986165137614
33.99,-118.3,577,33.98984644714038,-118.30022963604853
33.99,-118.29,906,33.98932240618101,-118.28990110375275
33.99,-118.28,623,33.989813964686995,-118.2803213483146
33.99,-118.27,651,33.990227496159754,-118.27072043010753
33.99,-118.26,356,33.99079915730337,-118.25965308988765
33.99,-118.25,242,33.992780578512395,-118.25025867768595
33.99,-118.24,132,33.99308106060606,-118.24198863636364
34.0,-118.48,200,33.9966235,-118.47872149999999
34.0,-118.47,363,33.99812892561983,-118.46980110192837
34.0,-118.46,244,33.99962254098361,-118.46053032786885
34.0,-118.45,177,33.99840169491525,-118.4496451977401
34.0,-118.44,225,33.99984488888889,-118.43884844444445
34.0,-118.43,142,34.0022176056338,-118.42969436619718
34.0,-118.42,147,33.998365306122444,-118.41990408163267
34.0,-118.41,154,33.99817532467532,-118.41209415584416
34.0,-118.4,35,33.99975428571428,-118.40280857142857
34.0,-118.36,21,34.002361904761905,-118.35740952380952
